Modelos,Escala dos Dados,Variáveis Utilizadas,Acurácia Média,Recall Médio,Precisão Média
MLPClassifier,RobustScaler,12,0.7811515151515153,0.7707755102040816,0.789854248741292
MLPClassifier,QuantileTransformer,10,0.7811515151515153,0.7828571428571429,0.7865731255561764
MLPClassifier,QuantileTransformer,14,0.7811515151515152,0.7667755102040816,0.7919618029029794
MLPClassifier,MaxAbsScaler,18,0.7811515151515152,0.7827755102040816,0.7853081232492997
MLPClassifier,MaxAbsScaler,21,0.7811515151515152,0.7867755102040815,0.7826051702145389
MLPClassifier,MinMaxScaler,10,0.7811313131313131,0.7867755102040815,0.7843447240300865
MLPClassifier,MaxAbsScaler,11,0.7811313131313131,0.7907755102040817,0.781931650600064
MLPClassifier,Original,15,0.7811111111111112,0.7466122448979592,0.8069774185741825
MLPClassifier,Original,17,0.7811111111111111,0.7546938775510205,0.7999916479396904
MLPClassifier,Original,14,0.7811111111111111,0.7546938775510205,0.8014275744635352
MLPClassifier,RobustScaler,9,0.7811111111111111,0.7748571428571428,0.7897702568441565
MLPClassifier,Original,18,0.7811111111111111,0.7586938775510204,0.7977269183097316
MLPClassifier,Original,13,0.7810909090909091,0.7546938775510205,0.7999091944470095
MLPClassifier,QuantileTransformer,20,0.7791919191919192,0.7708571428571429,0.7874596513622402
MLPClassifier,StandardScaler,19,0.7791919191919192,0.7828571428571429,0.7794275132875489
MLPClassifier,MaxAbsScaler,8,0.7791919191919192,0.7789387755102041,0.7867562936147978
MLPClassifier,MaxAbsScaler,7,0.7791919191919192,0.7830204081632652,0.7839982012872039
MLPClassifier,MinMaxScaler,17,0.7791717171717172,0.7827755102040816,0.7819734319012137
MLPClassifier,MinMaxScaler,20,0.7791717171717172,0.7788571428571429,0.7834453326495405
MLPClassifier,StandardScaler,7,0.7791515151515152,0.770938775510204,0.7896377441531335
MLPClassifier,QuantileTransformer,15,0.7791515151515152,0.7748571428571429,0.7849383326481405
MLPClassifier,StandardScaler,8,0.7791515151515152,0.7790204081632652,0.7854708075001545
MLPClassifier,StandardScaler,18,0.7791515151515152,0.7708571428571428,0.7861212965259362
MLPClassifier,StandardScaler,12,0.7791515151515152,0.7828571428571429,0.7792354721793023
MLPClassifier,MaxAbsScaler,20,0.7791515151515152,0.7827755102040816,0.7828645142267433
MLPClassifier,Original,8,0.7791313131313131,0.7507755102040815,0.8002521659967534
MLPClassifier,Original,20,0.7791313131313131,0.7466938775510205,0.801767870056444
MLPClassifier,Original,19,0.7791111111111111,0.7466122448979592,0.8029625091645997
MLPClassifier,RobustScaler,8,0.7790909090909091,0.7748571428571428,0.786678250810974
SGDClassifier,StandardScaler,7,0.7772323232323232,0.7433469387755102,0.7982785958395715
MLPClassifier,StandardScaler,13,0.7771717171717172,0.7708571428571429,0.7826102946972512
MLPClassifier,StandardScaler,15,0.7771717171717171,0.7748571428571428,0.7814874693123668
MLPClassifier,StandardScaler,9,0.7771515151515151,0.774938775510204,0.7845970661230399
MLPClassifier,Original,7,0.7771313131313132,0.7467755102040816,0.7995056356758484
MLPClassifier,RobustScaler,10,0.7771313131313132,0.7707755102040816,0.7840365884625371
MLPClassifier,StandardScaler,14,0.7771313131313132,0.7667755102040816,0.7862404262404261
SGDClassifier,MinMaxScaler,12,0.7771313131313132,0.7024489795918367,0.8349687721116293
MLPClassifier,RobustScaler,14,0.777131313131313,0.7586938775510204,0.7924245529697466
MLPClassifier,QuantileTransformer,9,0.7771111111111111,0.7788571428571429,0.7824373352311277
MLPClassifier,Normalizer,8,0.7752121212121212,0.8231020408163265,0.7553978763553231
