Modelos,Escala dos Dados,Variáveis Utilizadas,RMSE Médio,R2 Médio
AdaBoostRegressor,RobustScaler,12,-5744.9025656237445,0.7716012338773764
KNeighborsRegressor,MaxAbsScaler,7,-5749.829013048524,0.7717669986317036
AdaBoostRegressor,QuantileTransformer,10,-5752.728481746079,0.7719733142180293
KNeighborsRegressor,MaxAbsScaler,9,-5759.396664296824,0.7711455292988356
AdaBoostRegressor,RobustScaler,11,-5774.648811516864,0.7691039405584772
AdaBoostRegressor,QuantileTransformer,3,-5792.778405507873,0.7674724785726903
KNeighborsRegressor,MinMaxScaler,6,-5793.069789747329,0.768936879045543
KNeighborsRegressor,QuantileTransformer,12,-5803.698788384171,0.7676653906358947
AdaBoostRegressor,MinMaxScaler,8,-5806.084244161395,0.7664648269250874
KNeighborsRegressor,QuantileTransformer,11,-5806.948766895395,0.7673898696598445
AdaBoostRegressor,StandardScaler,11,-5810.458844308554,0.7663270738494639
KNeighborsRegressor,MinMaxScaler,7,-5837.5920829435245,0.7650103125222667
SGDRegressor,QuantileTransformer,4,-5849.229435108864,0.7635471703266571
AdaBoostRegressor,StandardScaler,10,-5849.869468765536,0.763246125092725
SGDRegressor,QuantileTransformer,8,-5854.731381690535,0.7636746406211297
AdaBoostRegressor,StandardScaler,9,-5855.243932447384,0.7619165036706638
AdaBoostRegressor,QuantileTransformer,9,-5861.740983223219,0.7603221554335426
SGDRegressor,QuantileTransformer,9,-5865.694305496138,0.7627593898691828
SGDRegressor,QuantileTransformer,10,-5870.175911937235,0.7624761623380537
AdaBoostRegressor,QuantileTransformer,7,-5870.568457409958,0.761014726207647
KNeighborsRegressor,StandardScaler,6,-5880.662480718604,0.7614915994721378
SGDRegressor,QuantileTransformer,12,-5883.326444624082,0.7614347961822919
SGDRegressor,QuantileTransformer,11,-5886.881354942451,0.7611266844375394
KNeighborsRegressor,MinMaxScaler,10,-5890.036948163276,0.7605161554444396
KNeighborsRegressor,StandardScaler,7,-5900.310599881966,0.7596303774739364
AdaBoostRegressor,RobustScaler,10,-5903.943537266905,0.7565304198359146
AdaBoostRegressor,Original,10,-5904.517334371243,0.7564864231488301
AdaBoostRegressor,MaxAbsScaler,10,-5904.517334371243,0.7564864231488301
SGDRegressor,QuantileTransformer,3,-5905.9046819937585,0.7591979285036571
AdaBoostRegressor,MinMaxScaler,10,-5946.643980177206,0.7531901275772841
SGDRegressor,QuantileTransformer,5,-5952.065001833922,0.7557038267855918
AdaBoostRegressor,QuantileTransformer,12,-5954.872141263988,0.7533220666463329
SGDRegressor,QuantileTransformer,6,-6016.24685964004,0.750146078418323
KNeighborsRegressor,MaxAbsScaler,10,-6027.400084489427,0.7486265170839385
KNeighborsRegressor,MinMaxScaler,11,-6041.76435845609,0.7482730218666296
KNeighborsRegressor,MinMaxScaler,12,-6041.76435845609,0.7482730218666296
SGDRegressor,QuantileTransformer,7,-6051.060247765748,0.7472023170109247
KNeighborsRegressor,QuantileTransformer,7,-6108.073014254669,0.7425684331134883
AdaBoostRegressor,StandardScaler,12,-6219.925571254378,0.7316210513335671
KNeighborsRegressor,MaxAbsScaler,12,-6224.388090342132,0.7323333993882188
KNeighborsRegressor,MaxAbsScaler,11,-6225.0998728686545,0.7322691126945173
KNeighborsRegressor,Normalizer,5,-6889.528954324068,0.6723641871307725
SGDRegressor,Normalizer,12,-6971.635207750934,0.6641078491933146
SGDRegressor,Normalizer,11,-6971.8686471823285,0.6640835623459018
SGDRegressor,Normalizer,8,-6971.890070270146,0.6640840642535248
SGDRegressor,Normalizer,9,-6971.987134415838,0.6640741034509767
SGDRegressor,Normalizer,10,-6972.101853049391,0.6640622755511572
SGDRegressor,Normalizer,6,-6972.1291716910255,0.6640639507654045
SGDRegressor,Normalizer,7,-6972.255375325801,0.664049006769426
KNeighborsRegressor,Normalizer,6,-6986.096994915303,0.662435671877715
KNeighborsRegressor,Normalizer,12,-7102.703385209405,0.6500703108630603
KNeighborsRegressor,Normalizer,3,-7112.053326607662,0.6502313050113225
KNeighborsRegressor,Normalizer,10,-7119.540867859879,0.6493672999662073
KNeighborsRegressor,Normalizer,11,-7120.16789111779,0.6485287693022528
KNeighborsRegressor,Normalizer,8,-7138.1840195451805,0.6469918101377774
KNeighborsRegressor,Normalizer,7,-7151.333935618057,0.6452873481836116
KNeighborsRegressor,Normalizer,9,-7168.922105931981,0.6443644425993271
LinearRegression,Normalizer,5,-7312.91953662804,0.6306193538631313
AdaBoostRegressor,Normalizer,3,-7345.409033939027,0.6283698823336591
SGDRegressor,Normalizer,5,-7365.179198868378,0.6251055452548342
AdaBoostRegressor,Normalizer,10,-7570.180687153617,0.6029403074210132
AdaBoostRegressor,Normalizer,12,-7610.177867290081,0.5991318566230955
AdaBoostRegressor,Normalizer,9,-7622.796738492665,0.5971989617091585
AdaBoostRegressor,Normalizer,11,-7633.505268022083,0.595452856274027
AdaBoostRegressor,Normalizer,8,-7678.56091610773,0.5923817630873622
KNeighborsRegressor,Normalizer,4,-7781.811302269988,0.5807584112015839
AdaBoostRegressor,Normalizer,7,-7819.052457131269,0.5782930047055074
AdaBoostRegressor,Normalizer,6,-7899.074948754332,0.5672461003297151
AdaBoostRegressor,Normalizer,4,-7970.247068485961,0.5593437384965869
AdaBoostRegressor,Normalizer,5,-7988.608209497537,0.5568628600938457
LinearRegression,Normalizer,4,-8308.417924613084,0.5235190543605545
LinearRegression,Normalizer,3,-8314.89809809964,0.5226375362213311
MLPRegressor,Original,9,-9837.650731964111,0.33450057630632773
MLPRegressor,Original,12,-9902.058203787112,0.3257481093718395
MLPRegressor,Original,8,-9931.636009927037,0.32175575917057203
MLPRegressor,Original,11,-10071.205689432096,0.30251833420092195
MLPRegressor,Original,10,-10446.829862120057,0.2494903163876873
MLPRegressor,Original,7,-10968.858636106368,0.17258815785452056
MLPRegressor,Original,3,-11098.188837655725,0.15293802089519115
MLPRegressor,Original,6,-11134.296601519714,0.1474311647475675
MLPRegressor,Original,4,-11201.78609228252,0.13704778834056908
MLPRegressor,Original,5,-11359.323330232295,0.11261254314352358
SGDRegressor,Normalizer,3,-11887.021645504214,0.028286933067510713
SGDRegressor,Normalizer,4,-11887.068419724405,0.028279352359443767
MLPRegressor,RobustScaler,9,-13635.71521233336,-0.2787466494000669
MLPRegressor,RobustScaler,12,-13639.105597102676,-0.2793832789354348
MLPRegressor,RobustScaler,6,-13706.581936241952,-0.29207736537855955
MLPRegressor,RobustScaler,8,-13712.129084848091,-0.2931222510853003
MLPRegressor,RobustScaler,11,-13821.532173422782,-0.3138158846894313
MLPRegressor,RobustScaler,7,-13822.165875889094,-0.3139593667319731
MLPRegressor,RobustScaler,10,-13894.247797101383,-0.32766978547961445
MLPRegressor,RobustScaler,3,-13922.426925523125,-0.3331729247162105
MLPRegressor,RobustScaler,4,-14280.282425124537,-0.40255770374924305
MLPRegressor,RobustScaler,5,-14351.365640321392,-0.4164577134096145
MLPRegressor,QuantileTransformer,12,-17257.500295848196,-1.0484126410558718
MLPRegressor,QuantileTransformer,11,-17319.787972890357,-1.0632168716848642
MLPRegressor,MaxAbsScaler,12,-17324.031965162605,-1.0642550040478804
MLPRegressor,StandardScaler,9,-17327.1961573331,-1.0649419308255
MLPRegressor,QuantileTransformer,9,-17330.277771595727,-1.0657201544339006
MLPRegressor,QuantileTransformer,10,-17331.714568368705,-1.0660494145193933
